id,state,name,city,county,latitude,longitude,towered,longest_runway_ft,surface_category,use_category,contact_phone,info_url,type,sources,corroborated
02G,OH,COLUMBIANA COUNTY,EAST LIVERPOOL,COLUMBIANA,40.67330555,-80.64141666,no,3503,paved,public,,https://www.airnav.com/airport/02G,airport,faa,no
02T,MT,WISE RIVER,WISE RIVER,BEAVERHEAD,45.77002777,-112.98047222,no,4050,unpaved,public,,https://www.airnav.com/airport/02T,airport,faa,no
03B,MO,MANSFIELD MUNI,MANSFIELD,WRIGHT,37.12677777,-92.62161111,no,3000,paved,public,,https://www.airnav.com/airport/03B,airport,faa,no
03D,MO,MEMPHIS MEML,MEMPHIS,SCOTLAND,40.44725,-92.22694444,no,3300,paved,public,,https://www.airnav.com/airport/03D,airport,faa,no
03S,OR,SANDY RIVER,SANDY,CLACKAMAS,45.40161111,-122.22869444,no,2115,unpaved,public,,https://www.airnav.com/airport/03S,airport,faa,no
04A,AL,FRANK SIKES,LUVERNE,CRENSHAW,31.73638694,-86.26245463,no,4649,paved,public,,https://www.airnav.com/airport/04A,airport,faa,no
04G,OH,LANSDOWNE,YOUNGSTOWN,MAHONING,41.13047222,-80.61958333,no,3073,paved,public,,https://www.airnav.com/airport/04G,airport,faa,no
04M,MS,CALHOUN COUNTY,PITTSBORO,CALHOUN,33.93008333,-89.34327777,no,3200,paved,public,,https://www.airnav.com/airport/04M,airport,faa,no
04V,CO,SAGUACHE MUNI,SAGUACHE,SAGUACHE,38.09939444,-106.17432777,no,7957,unpaved,public,,https://www.airnav.com/airport/04V,airport,faa,no
04W,MN,FIELD OF DREAMS,HINCKLEY,PINE,46.02286811,-92.89517441,no,2751,paved,public,,https://www.airnav.com/airport/04W,airport,faa,no
04Y,MN,HAWLEY MUNI,HAWLEY,CLAY,46.88377777,-96.35061111,no,3398,paved,public,,https://www.airnav.com/airport/04Y,airport,faa,no
05C,IN,GRIFFITH-MERRILLVILLE,GRIFFITH,LAKE,41.519841,-87.39950797,no,4899,paved,public,,https://www.airnav.com/airport/05C,airport,faa,no
05D,ND,NEW TOWN MUNI,NEW TOWN,MOUNTRAIL,47.96812777,-102.47856138,no,3720,paved,public,,https://www.airnav.com/airport/05D,airport,faa,no
05K,AK,WILDER RUNWAY,PORT ALSWORTH,LAKE AND PENINSULA,60.19848083,-154.32304916,no,3849,unpaved,public,9072837211,https://www.airnav.com/airport/05K,airport,faa,no
05N,NC,SOUTH OAKS AERODROME,WINTERVILLE,PITT,35.48218472,-77.3557743,no,1850,unpaved,public,,https://www.airnav.com/airport/05N,airport,faa,no
05S,OR,VERNONIA MUNI,VERNONIA,COLUMBIA,45.85210625,-123.2428693,no,2940,unpaved,public,,https://www.airnav.com/airport/05S,airport,faa,no
05U,NV,EUREKA,EUREKA,EUREKA,39.60375,-116.00361111,no,7300,paved,public,,https://www.airnav.com/airport/05U,airport,faa,no
05V,CO,BLANCA,BLANCA,COSTILLA,37.41111916,-105.55168,no,6160,unpaved,public,,https://www.airnav.com/airport/05V,airport,faa,no
05Y,MN,HENNING MUNI,HENNING,OTTER TAIL,46.30398888,-95.44225833,no,3199,unpaved,public,,https://www.airnav.com/airport/05Y,airport,faa,no
06A,AL,MOTON FLD MUNI,TUSKEGEE,MACON,32.46047222,-85.68002777,no,5005,paved,public,,https://www.airnav.com/airport/06A,airport,faa,no
06C,IL,SCHAUMBURG RGNL,CHICAGO/SCHAUMBURG,DU PAGE,41.98934083,-88.10124277,no,3800,paved,public,,https://www.airnav.com/airport/06C,airport,faa,no
06D,ND,ROLLA MUNI/LEONARD KRECH FLD,ROLLA,ROLETTE,48.88441722,-99.62092666,no,4300,paved,public,,https://www.airnav.com/airport/06D,airport,faa,no
06M,MS,EUPORA,EUPORA,WEBSTER,33.53483333,-89.31311111,no,3000,paved,public,,https://www.airnav.com/airport/06M,airport,faa,no
06N,NY,RANDALL,MIDDLETOWN,ORANGE,41.43191194,-74.39156083,no,2810,paved,public,,https://www.airnav.com/airport/06N,airport,faa,no
06U,NV,JACKPOT/HAYDEN FLD,JACKPOT,ELKO,41.97583083,-114.65801555,no,6180,paved,public,,https://www.airnav.com/airport/06U,airport,faa,no
06Y,MN,HERMAN MUNI,HERMAN,GRANT,45.82996055,-96.16061444,no,2997,paved,public,,https://www.airnav.com/airport/06Y,airport,faa,no
07A,AL,FRANKLIN FLD,UNION SPRINGS,BULLOCK,32.1675925,-85.81119666,no,5002,paved,public,,https://www.airnav.com/airport/07A,airport,faa,no
07F,TX,GLADEWATER MUNI,GLADEWATER,GREGG,32.52883333,-94.97175,no,3299,paved,public,,https://www.airnav.com/airport/07F,airport,faa,no
07K,NE,CENTRAL CITY MUNI/LARRY REINEKE FLD,CENTRAL CITY,MERRICK,41.1115613,-98.05133561,no,3700,paved,public,,https://www.airnav.com/airport/07K,airport,faa,no
07N,PA,BERMUDIAN VALLEY AIRPARK,KRALLTOWN,YORK,40.01676166,-77.00386666,no,2200,unpaved,public,,https://www.airnav.com/airport/07N,airport,faa,no
07R,TX,BISHOP-WINDHAM,BISHOP,NUECES,27.61016666,-97.75252777,no,3200,paved,public,,https://www.airnav.com/airport/07R,airport,faa,no
07S,KS,BEAUMONT HOTEL,BEAUMONT,BUTLER,37.65930416,-96.52769166,no,2400,unpaved,public,,https://www.airnav.com/airport/07S,airport,faa,no
07V,CO,CUCHARA VALLEY AT LA VETA,LA VETA,HUERFANO,37.52382444,-105.00926861,no,5798,paved,public,,https://www.airnav.com/airport/07V,airport,faa,no
07Y,MN,HILL CITY/QUADNA MOUNTAIN,HILL CITY,AITKIN,46.955895,-93.59744288,no,2902,unpaved,public,,https://www.airnav.com/airport/07Y,airport,faa,no
08A,AL,WETUMPKA MUNI,WETUMPKA,ELMORE,32.52733333,-86.33102777,no,3013,paved,public,,https://www.airnav.com/airport/08A,airport,faa,no
08B,ME,MERRYMEETING FLD,BOWDOINHAM,SAGADAHOC,44,-69.88713888,no,1935,unpaved,public,,https://www.airnav.com/airport/08B,airport,faa,no
08C,MI,RIVERVIEW,JENISON,OTTAWA,42.93672263,-85.8057525,no,3920,paved,public,,https://www.airnav.com/airport/08C,airport,faa,no
08D,ND,STANLEY MUNI,STANLEY,MOUNTRAIL,48.30138638,-102.40806027,no,3900,paved,public,,https://www.airnav.com/airport/08D,airport,faa,no
08F,OK,CITY OF COALGATE,COALGATE,COAL,34.53175888,-96.23305388,no,2584,paved,public,,https://www.airnav.com/airport/08F,airport,faa,no
08K,NE,HARVARD STATE,HARVARD,CLAY,40.65133333,-98.07988888,no,3873,paved,public,,https://www.airnav.com/airport/08K,airport,faa,no
08M,MS,CARTHAGE-LEAKE COUNTY,CARTHAGE,LEAKE,32.76158333,-89.53038888,no,3000,paved,public,,https://www.airnav.com/airport/08M,airport,faa,no
08N,PA,KELLER BROTHERS,LEBANON,LEBANON,40.29155138,-76.32874722,no,2692,unpaved,public,,https://www.airnav.com/airport/08N,airport,faa,no
08R,RI,RICHMOND,WEST KINGSTON,WASHINGTON,41.4895,-71.62063888,no,2129,paved,public,,https://www.airnav.com/airport/08R,airport,faa,no
08U,NV,STEVENS-CROSBY,NORTH FORK,ELKO,41.51575122,-115.85992069,no,3600,unpaved,public,,https://www.airnav.com/airport/08U,airport,faa,no
09A,AL,BUTLER/CHOCTAW COUNTY,BUTLER,CHOCTAW,32.11930555,-88.12747222,no,4082,paved,public,,https://www.airnav.com/airport/09A,airport,faa,no
09J,GA,JEKYLL ISLAND,JEKYLL ISLAND,GLYNN,31.07447222,-81.42777777,no,3715,paved,public,,https://www.airnav.com/airport/09J,airport,faa,no
09K,NE,SARGENT MUNI,SARGENT,CUSTER,41.63491666,-99.34213888,no,3000,paved,public,,https://www.airnav.com/airport/09K,airport,faa,no
09M,MS,CHARLESTON MUNI,CHARLESTON,TALLAHATCHIE,33.99136111,-90.07855555,no,3000,paved,public,,https://www.airnav.com/airport/09M,airport,faa,no
09N,NY,AIRHAVEN,STAATSBURG,DUTCHESS,41.83263888,-73.87616666,no,1863,unpaved,public,,https://www.airnav.com/airport/09N,airport,faa,no
09R,TX,TYLER COUNTY,WOODVILLE,TYLER,30.77520055,-94.4585325,no,4000,paved,public,,https://www.airnav.com/airport/09R,airport,faa,no
09S,WA,SULLIVAN LAKE STATE,METALINE FALLS,PEND OREILLE,48.84089527,-117.28398583,no,1765,unpaved,public,,https://www.airnav.com/airport/09S,airport,faa,no
09T,TX,LAZY G BAR RANCH,DECATUR,WISE,33.28132069,-97.49669333,no,1600,unpaved,public,,https://www.airnav.com/airport/09T,airport,faa,no
0A3,TN,SMITHVILLE MUNI,SMITHVILLE,DE KALB,35.98544444,-85.80911111,no,4257,paved,public,,https://www.airnav.com/airport/0A3,airport,faa,no
0A4,TN,JOHNSON CITY,JOHNSON CITY,WASHINGTON,36.36371666,-82.30902611,no,3000,paved,public,,https://www.airnav.com/airport/0A4,airport,faa,no
0A7,NC,HENDERSONVILLE,HENDERSONVILLE,HENDERSON,35.30761666,-82.43317416,no,3075,paved,public,,https://www.airnav.com/airport/0A7,airport,faa,no
0A8,AL,BIBB COUNTY,CENTREVILLE,BIBB,32.93693888,-87.09054722,no,4206,paved,public,,https://www.airnav.com/airport/0A8,airport,faa,no
0A9,TN,WILLIAM B GREENE JR RGNL,ELIZABETHTON,CARTER,36.37155794,-82.17272433,no,5001,paved,public,,https://www.airnav.com/airport/0A9,airport,faa,no
0AK,AK,PILOT STATION,PILOT STATION,KUSILVAK,61.96147697,-162.94235461,no,4000,unpaved,public,9072837211,https://www.airnav.com/airport/0AK,airport,faa,no
0B1,ME,BETHEL RGNL,BETHEL,OXFORD,44.42516666,-70.80991666,no,3818,paved,public,,https://www.airnav.com/airport/0B1,airport,faa,no
0B2,ME,BREWER,BREWER,PENOBSCOT,44.76383333,-68.76786111,no,1730,unpaved,public,,https://www.airnav.com/airport/0B2,airport,faa,no
0B4,NE,HARTINGTON MUNI/BUD BECKER FLD,HARTINGTON,CEDAR,42.60308333,-97.2535,no,3950,paved,public,,https://www.airnav.com/airport/0B4,airport,faa,no
0B5,MA,TURNERS FALLS,MONTAGUE,FRANKLIN,42.59161111,-72.523,no,3200,paved,public,,https://www.airnav.com/airport/0B5,airport,faa,no
0B7,VT,WARREN-SUGARBUSH,WARREN,WASHINGTON,44.11738888,-72.827,no,2575,paved,public,,https://www.airnav.com/airport/0B7,airport,faa,no
0B8,NY,ELIZABETH FLD,FISHERS ISLAND,SUFFOLK,41.25213888,-72.03163888,no,2345,paved,public,,https://www.airnav.com/airport/0B8,airport,faa,no
0C0,IL,DACY,HARVARD,MC HENRY,42.40247222,-88.63238888,no,3589,unpaved,public,,https://www.airnav.com/airport/0C0,airport,faa,no
0C1,MO,TRIPLE R,DEARBORN,PLATTE,39.48775,-94.78113888,no,2375,paved,public,,https://www.airnav.com/airport/0C1,airport,faa,no
0C2,IL,HINCKLEY,HINCKLEY,DE KALB,41.77086277,-88.70341444,no,2640,unpaved,public,,https://www.airnav.com/airport/0C2,airport,faa,no
0C4,NE,PENDER MUNI,PENDER,THURSTON,42.11341811,-96.72781338,no,3600,paved,public,,https://www.airnav.com/airport/0C4,airport,faa,no
0C5,MI,CANADIAN LAKES,MECOSTA,MECOSTA,43.57701111,-85.284,no,3800,unpaved,public,,https://www.airnav.com/airport/0C5,airport,faa,no
0C8,IL,CUSHING FLD LTD,NEWARK,LA SALLE,41.519475,-88.60562888,no,2831,unpaved,public,,https://www.airnav.com/airport/0C8,airport,faa,no
0D7,OH,ADA,ADA,HARDIN,40.79060805,-83.82910388,no,1955,unpaved,public,,https://www.airnav.com/airport/0D7,airport,faa,no
0D8,SD,GETTYSBURG MUNI,GETTYSBURG,POTTER,44.98661111,-99.95288888,no,4400,paved,public,,https://www.airnav.com/airport/0D8,airport,faa,no
0E0,NM,MORIARTY MUNI,MORIARTY,TORRANCE,34.97816666,-106.00002777,no,7702,paved,public,,https://www.airnav.com/airport/0E0,airport,faa,no
0E8,NM,CROWNPOINT,CROWNPOINT,MC KINLEY,35.71765888,-108.20159611,no,5820,paved,public,,https://www.airnav.com/airport/0E8,airport,faa,no
0E9,IA,CORYDON,CORYDON,WAYNE,40.75622777,-93.24033611,no,3270,unpaved,public,,https://www.airnav.com/airport/0E9,airport,faa,no
0F2,TX,BOWIE MUNI,BOWIE,MONTAGUE,33.60166666,-97.77555555,no,3603,paved,public,,https://www.airnav.com/airport/0F2,airport,faa,no
0F3,IA,SPIRIT LAKE MUNI,SPIRIT LAKE,DICKINSON,43.38742083,-95.13946805,no,3015,paved,public,,https://www.airnav.com/airport/0F3,airport,faa,no
0F4,NE,LOUP CITY MUNI,LOUP CITY,SHERMAN,41.28636111,-98.99002777,no,3900,paved,public,,https://www.airnav.com/airport/0F4,airport,faa,no
0F7,OK,FOUNTAINHEAD LODGE AIRPARK,EUFAULA,MC INTOSH,35.38866666,-95.60027777,no,3000,paved,public,,https://www.airnav.com/airport/0F7,airport,faa,no
0F9,OK,TISHOMINGO AIRPARK,TISHOMINGO,JOHNSTON,34.1985,-96.6745,no,3100,paved,public,,https://www.airnav.com/airport/0F9,airport,faa,no
0G3,NE,TECUMSEH MUNI,TECUMSEH,JOHNSON,40.40094444,-96.17044444,no,3501,paved,public,,https://www.airnav.com/airport/0G3,airport,faa,no
0G6,OH,WILLIAMS COUNTY,BRYAN,WILLIAMS,41.46730555,-84.50677777,no,4782,paved,public,,https://www.airnav.com/airport/0G6,airport,faa,no
0G7,NY,FINGER LAKES RGNL,SENECA FALLS,SENECA,42.88355555,-76.78116666,no,4592,paved,public,,https://www.airnav.com/airport/0G7,airport,faa,no
0H1,KS,TREGO WAKEENEY,WAKEENEY,TREGO,39.00652777,-99.89294444,no,4008,paved,public,,https://www.airnav.com/airport/0H1,airport,faa,no
0H7,MO,KAHOKA MUNI,KAHOKA,CLARK,40.42172222,-91.70666666,no,2680,unpaved,public,,https://www.airnav.com/airport/0H7,airport,faa,no
0I2,IN,BRAZIL CLAY COUNTY,BRAZIL,CLAY,39.47673555,-87.09970916,no,2941,paved,public,,https://www.airnav.com/airport/0I2,airport,faa,no
0I8,KY,CYNTHIANA-HARRISON COUNTY,CYNTHIANA,HARRISON,38.36616388,-84.28334444,no,3850,paved,public,,https://www.airnav.com/airport/0I8,airport,faa,no
0ID,ID,W E RANCH,THATCHER,CARIBOU,42.44818625,-111.77754305,no,1350,unpaved,public,,https://www.airnav.com/airport/0ID,airport,faa,no
0J0,AL,ABBEVILLE MUNI,ABBEVILLE,HENRY,31.60172027,-85.23854472,no,5000,paved,public,,https://www.airnav.com/airport/0J0,airport,faa,no
0J4,AL,FLORALA MUNI,FLORALA,COVINGTON,31.04247361,-86.31156111,no,3197,paved,public,,https://www.airnav.com/airport/0J4,airport,faa,no
0J8,FL,FLYING TEN,ARCHER,ALACHUA,29.61942916,-82.50866805,no,3917,unpaved,public,,https://www.airnav.com/airport/0J8,airport,faa,no
0K6,OK,DOBIE'S,INOLA,ROGERS,36.17934722,-95.580275,no,1575,unpaved,public,,https://www.airnav.com/airport/0K6,airport,faa,no
0K7,IA,HUMBOLDT MUNI,HUMBOLDT,HUMBOLDT,42.73486111,-94.24547222,no,3417,paved,public,,https://www.airnav.com/airport/0K7,airport,faa,no
0L4,NV,LIDA JUNCTION,GOLDFIELD,ESMERALDA,37.49188888,-117.18841666,no,6100,unpaved,public,,https://www.airnav.com/airport/0L4,airport,faa,no
0L7,NV,JEAN,JEAN,CLARK,35.76826436,-115.32962197,no,4600,paved,public,,https://www.airnav.com/airport/0L7,airport,faa,no
0L9,NV,ECHO BAY,OVERTON,CLARK,36.31103786,-114.46389411,no,3400,paved,public,,https://www.airnav.com/airport/0L9,airport,faa,no
0M0,AR,BILLY FREE MUNI,DUMAS,DESHA,33.88452777,-91.53427777,no,5003,paved,public,,https://www.airnav.com/airport/0M0,airport,faa,no
0M2,TN,REELFOOT LAKE,TIPTONVILLE,LAKE,36.47533333,-89.34630555,no,3500,paved,public,,https://www.airnav.com/airport/0M2,airport,faa,no
0M3,TN,PAUL BRIDGES FLD,HOHENWALD,LEWIS,35.54597416,-87.59732444,no,4001,paved,public,,https://www.airnav.com/airport/0M3,airport,faa,no
0M4,TN,BENTON COUNTY,CAMDEN,BENTON,36.00954166,-88.12472777,no,5001,paved,public,,https://www.airnav.com/airport/0M4,airport,faa,no
0M5,TN,HUMPHREYS COUNTY,WAVERLY,HUMPHREYS,36.11661111,-87.73816666,no,4000,paved,public,,https://www.airnav.com/airport/0M5,airport,faa,no
0M8,LA,BYERLEY,LAKE PROVIDENCE,EAST CARROLL,32.82587916,-91.187665,no,3196,paved,public,,https://www.airnav.com/airport/0M8,airport,faa,no
0M9,LA,DELHI MUNI,DELHI,RICHLAND,32.41072222,-91.49852777,no,3000,paved,public,,https://www.airnav.com/airport/0M9,airport,faa,no
0N0,MO,ROOSTERVILLE,LIBERTY,CLAY,39.28983333,-94.44244444,no,2780,paved,public,,https://www.airnav.com/airport/0N0,airport,faa,no
0N4,DE,CHANDELLE,DOVER,KENT,39.20230555,-75.48541666,no,2533,paved,public,,https://www.airnav.com/airport/0N4,airport,faa,no
0O2,CA,BAKER,BAKER,SAN BERNARDINO,35.28627777,-116.08136111,no,3157,paved,public,,https://www.airnav.com/airport/0O2,airport,faa,no
0O4,CA,CORNING MUNI,CORNING,TEHAMA,39.94610805,-122.17111666,no,2699,paved,public,,https://www.airnav.com/airport/0O4,airport,faa,no
0O9,CA,WARD FLD,GASQUET,DEL NORTE,41.84558333,-123.98477777,no,2990,paved,public,,https://www.airnav.com/airport/0O9,airport,faa,no
0P1,KS,VAN PAK,PRAIRIE VIEW,PHILLIPS,39.83169444,-99.56844444,no,2590,unpaved,public,,https://www.airnav.com/airport/0P1,airport,faa,no
0P2,PA,SHOESTRING AVIATION AIRFIELD,STEWARTSTOWN,YORK,39.79625416,-76.64639305,no,1000,unpaved,public,,https://www.airnav.com/airport/0P2,airport,faa,no
0P8,PA,LAZY B RANCH,DOVER,YORK,40.02442361,-76.8153,no,2400,paved,public,,https://www.airnav.com/airport/0P8,airport,faa,no
0Q3,CA,SONOMA VALLEY,SCHELLVILLE/SONOMA,SONOMA,38.22394225,-122.449711,no,2700,paved,public,,https://www.airnav.com/airport/0Q3,airport,faa,no
0Q4,CA,SELMA,SELMA,FRESNO,36.5810005,-119.656978,no,2206,paved,public,,https://www.airnav.com/airport/0Q4,airport,faa,no
0Q5,CA,SHELTER COVE,SHELTER COVE,HUMBOLDT,40.02816666,-124.07430555,no,3407,paved,public,,https://www.airnav.com/airport/0Q5,airport,faa,no
0Q9,CA,SONOMA SKYPARK,SONOMA,SONOMA,38.25747222,-122.43455555,no,2490,paved,public,,https://www.airnav.com/airport/0Q9,airport,faa,no
0R0,MS,COLUMBIA/MARION COUNTY,COLUMBIA,MARION,31.29784638,-89.81148694,no,5500,paved,public,,https://www.airnav.com/airport/0R0,airport,faa,no
0R1,AL,ATMORE MUNI,ATMORE,ESCAMBIA,31.01613888,-87.44675,no,5001,paved,public,,https://www.airnav.com/airport/0R1,airport,faa,no
0R2,MO,LINCOLN MUNI,LINCOLN,BENTON,38.40233333,-93.33225,no,2940,unpaved,public,,https://www.airnav.com/airport/0R2,airport,faa,no
0R4,LA,CONCORDIA PARISH,VIDALIA,CONCORDIA,31.562,-91.50647222,no,3701,paved,public,,https://www.airnav.com/airport/0R4,airport,faa,no
0R5,LA,DAVID G JOYCE,WINNFIELD,WINN,31.96366222,-92.66026055,no,3002,paved,public,,https://www.airnav.com/airport/0R5,airport,faa,no
0R6,AR,HAMPTON MUNI,HAMPTON,CALHOUN,33.52261111,-92.46027777,no,4326,paved,public,,https://www.airnav.com/airport/0R6,airport,faa,no
0R7,LA,THE RED RIVER,COUSHATTA,RED RIVER,31.99027777,-93.30761111,no,5002,paved,public,,https://www.airnav.com/airport/0R7,airport,faa,no
0S0,WA,LIND,LIND,ADAMS,46.97684194,-118.58723111,no,3197,paved,public,,https://www.airnav.com/airport/0S0,airport,faa,no
0S1,MT,MEADOW CREEK USFS,MEADOW CREEK,FLATHEAD,47.84936516,-113.41741938,no,2830,unpaved,public,,https://www.airnav.com/airport/0S1,airport,faa,no
0S5,ID,NEZPERCE MUNI,NEZPERCE,LEWIS,46.23847327,-116.23856927,no,2443,paved,public,,https://www.airnav.com/airport/0S5,airport,faa,no
0S7,WA,DOROTHY SCOTT INTL,OROVILLE,OKANOGAN,48.95897222,-119.41197222,no,4017,paved,public,,https://www.airnav.com/airport/0S7,airport,faa,no
0S9,WA,JEFFERSON COUNTY INTL,PORT TOWNSEND,JEFFERSON,48.05380555,-122.81063888,no,3000,paved,public,,https://www.airnav.com/airport/0S9,airport,faa,no
0U0,ID,LANDMARK USFS,LANDMARK,VALLEY,44.64211111,-115.53338888,no,4000,unpaved,public,,https://www.airnav.com/airport/0U0,airport,faa,no
0U1,ID,WARM SPRINGS CREEK,LOWMAN,BOISE,44.14222222,-115.31405555,no,2850,unpaved,public,,https://www.airnav.com/airport/0U1,airport,faa,no
0U2,ID,COPPER BASIN,MACKAY,CUSTER,43.80197222,-113.83152777,no,4700,unpaved,public,,https://www.airnav.com/airport/0U2,airport,faa,no
0U3,ID,MAHONEY CREEK USFS,MAHONEY CREEK,VALLEY,44.74458333,-114.92138888,no,2150,unpaved,public,,https://www.airnav.com/airport/0U3,airport,faa,no
0U7,ID,HOLLOW TOP,CAREY,BLAINE,43.32375,-113.5905,no,2500,unpaved,public,,https://www.airnav.com/airport/0U7,airport,faa,no
0U8,ID,MAY,MAY,LEMHI,44.61033333,-113.89486111,no,4950,unpaved,public,,https://www.airnav.com/airport/0U8,airport,faa,no
0U9,ID,LEE WILLIAMS MEML,MIDVALE,WASHINGTON,44.46127777,-116.75802777,no,2875,paved,public,,https://www.airnav.com/airport/0U9,airport,faa,no
0V3,NE,PIONEER VILLAGE FLD,MINDEN,KEARNEY,40.51491666,-98.94563888,no,3900,paved,public,,https://www.airnav.com/airport/0V3,airport,faa,no
0V4,VA,BROOKNEAL/CAMPBELL COUNTY,BROOKNEAL,CAMPBELL,37.14172222,-79.01638888,no,3798,paved,public,,https://www.airnav.com/airport/0V4,airport,faa,no
0V7,AZ,KAYENTA,KAYENTA,NAVAJO,36.71644444,-110.22844444,no,7101,paved,public,,https://www.airnav.com/airport/0V7,airport,faa,no
0VG,VA,LEE COUNTY,JONESVILLE,LEE,36.654085,-83.21784666,no,5003,paved,public,,https://www.airnav.com/airport/0VG,airport,faa,no
0W3,MD,HARFORD COUNTY,CHURCHVILLE,HARFORD,39.56885666,-76.2041075,no,3354,paved,public,,https://www.airnav.com/airport/0W3,airport,faa,no
0Y6,IA,LAKE MILLS MUNI,LAKE MILLS,WINNEBAGO,43.41366666,-93.51175,no,3380,unpaved,public,,https://www.airnav.com/airport/0Y6,airport,faa,no
10C,IL,GALT FLD,GREENWOOD/WONDER LAKE,MC HENRY,42.40288888,-88.37511111,no,2802,paved,public,,https://www.airnav.com/airport/10C,airport,faa,no
10D,MN,WINSTED MUNI,WINSTED,MC LEOD,44.95385,-94.06539027,no,3248,unpaved,public,,https://www.airnav.com/airport/10D,airport,faa,no
10G,OH,HOLMES COUNTY,MILLERSBURG,HOLMES,40.53670125,-81.95594116,no,4400,paved,public,,https://www.airnav.com/airport/10G,airport,faa,no
10U,NV,OWYHEE,OWYHEE,ELKO,41.95362833,-116.18207,no,4700,paved,public,,https://www.airnav.com/airport/10U,airport,faa,no
10X,TX,OX RANCH,UVALDE,KINNEY,29.46148194,-100.11428916,no,5744,paved,public,,https://www.airnav.com/airport/10X,airport,faa,no
11A,AL,CLAYTON MUNI,CLAYTON,BARBOUR,31.88332444,-85.48522472,no,5010,paved,public,,https://www.airnav.com/airport/11A,airport,faa,no
11K,KS,SQUADRON FLD,ERIE,NEOSHO,37.46117222,-95.24194444,no,1970,unpaved,public,,https://www.airnav.com/airport/11K,airport,faa,no
11N,CT,CANDLELIGHT FARMS,NEW MILFORD,LITCHFIELD,41.56916666,-73.46208333,no,2900,unpaved,public,,https://www.airnav.com/airport/11N,airport,faa,no
11R,TX,BRENHAM MUNI,BRENHAM,WASHINGTON,30.2196755,-96.37440277,no,6003,paved,public,,https://www.airnav.com/airport/11R,airport,faa,no
11S,WA,SEKIU,SEKIU,CLALLAM,48.26611638,-124.31396472,no,2997,paved,public,,https://www.airnav.com/airport/11S,airport,faa,no
11V,CO,EASTON/VALLEY VIEW,GREELEY,WELD,40.32735694,-104.60939444,no,4000,unpaved,public,,https://www.airnav.com/airport/11V,airport,faa,no
11Y,WI,FLYING FEATHERS,CHILTON,CALUMET,44.06380005,-88.19195911,no,1680,unpaved,public,,https://www.airnav.com/airport/11Y,airport,faa,no
12A,AR,ARKAVALLEY,GREENBRIER,FAULKNER,35.17752961,-92.33506697,no,3133,paved,public,,https://www.airnav.com/airport/12A,airport,faa,no
12D,MN,TOWER MUNI,TOWER,ST LOUIS,47.81815555,-92.28606666,no,5000,water,public,,https://www.airnav.com/airport/12D,airport,faa,no
